[2025-04-15 22:36:37] [Packet 1] Protocol: TCP, Src IP: 140.82.112.26, Dst IP: 192.168.0.215, Src Port: 443, Dst Port: 52446
[2025-04-15 22:36:37] [Packet 2] Protocol: TCP, Src IP: 192.168.0.215, Dst IP: 140.82.112.26, Src Port: 52446, Dst Port: 443
[2025-04-15 22:36:37] [Packet 3] Protocol: TCP, Src IP: 140.82.112.26, Dst IP: 192.168.0.215, Src Port: 443, Dst Port: 52446
[2025-04-15 22:36:37] [Packet 4] Protocol: TCP, Src IP: 192.168.0.215, Dst IP: 34.237.73.95, Src Port: 43466, Dst Port: 443
[2025-04-15 22:36:38] [Packet 5] Protocol: TCP, Src IP: 34.237.73.95, Dst IP: 192.168.0.215, Src Port: 443, Dst Port: 43466
[2025-04-15 22:36:38] [Packet 6] Protocol: TCP, Src IP: 34.237.73.95, Dst IP: 192.168.0.215, Src Port: 443, Dst Port: 43466
[2025-04-15 22:36:38] [Packet 7] Protocol: TCP, Src IP: 192.168.0.215, Dst IP: 34.237.73.95, Src Port: 43466, Dst Port: 443
[2025-04-15 22:36:40] [Packet 8] Protocol: TCP, Src IP: 192.168.0.215, Dst IP: 34.237.73.95, Src Port: 43470, Dst Port: 443
[2025-04-15 22:36:40] [Packet 9] Protocol: TCP, Src IP: 34.237.73.95, Dst IP: 192.168.0.215, Src Port: 443, Dst Port: 43470
[2025-04-15 22:36:40] [Packet 10] Protocol: TCP, Src IP: 34.237.73.95, Dst IP: 192.168.0.215, Src Port: 443, Dst Port: 43470
[2025-04-15 22:36:40] [Packet 11] Protocol: TCP, Src IP: 192.168.0.215, Dst IP: 34.237.73.95, Src Port: 43470, Dst Port: 443
[2025-04-15 22:36:40] [Packet 12] Protocol: TCP, Src IP: 192.168.0.215, Dst IP: 34.237.73.95, Src Port: 42990, Dst Port: 443
[2025-04-15 22:36:41] [Packet 13] Protocol: TCP, Src IP: 34.237.73.95, Dst IP: 192.168.0.215, Src Port: 443, Dst Port: 42990
[2025-04-15 22:36:41] [Packet 14] Protocol: TCP, Src IP: 34.237.73.95, Dst IP: 192.168.0.215, Src Port: 443, Dst Port: 42990
[2025-04-15 22:36:41] [Packet 15] Protocol: TCP, Src IP: 192.168.0.215, Dst IP: 34.237.73.95, Src Port: 42990, Dst Port: 443
[2025-04-15 22:36:43] [Packet 16] Protocol: UDP, Src IP: 192.168.0.1, Dst IP: 192.168.0.255, Src Port: 53183, Dst Port: 20002
[2025-04-15 22:36:45] [Packet 17] Protocol: TCP, Src IP: 192.168.0.215, Dst IP: 34.237.73.95, Src Port: 43470, Dst Port: 443
